rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
16;11/07/2022;19:59;Internacional;América-MG;1;0;L. Venker de Menezes;V. Carmo Mancini;Estádio José Pinheiro Borda;21;9;4;7;68%;32%;647;309;86%;71%;5;8;0;5;0;0;2;2;13;2
17;16/07/2022;16:30;Athletico-PR;Internacional;0;0;L. Scolari;L. Venker de Menezes;Estádio Joaquim Américo Guimarães;17;17;5;3;60%;40%;501;338;84%;73%;7;13;1;2;0;0;4;2;5;5
17;16/07/2022;18:59;Flamengo;Coritiba;2;0;D. Silvestre Júnior;G. Morínigo;Estádio Nacional de Brasília;17;17;4;0;55%;45%;543;447;90%;87%;13;11;0;1;0;0;0;1;8;6
17;16/07/2022;19:00;Avaí;Santos;1;0;E. de Souza Barroca;M. Fernandes;Ressacada;14;6;4;2;41%;59%;338;474;76%;83%;17;12;5;3;0;0;3;1;6;8
17;16/07/2022;21:00;Ceará SC;Corinthians;3;1;M. dos Santos Gonçalves;F. J. Monteiro Almeida;Arena Castelão;18;11;7;4;44%;56%;434;542;82%;84%;18;5;1;1;0;0;2;1;6;2
17;17/07/2022;11:02;Juventude;Goiás;0;0;U. Louzer Filho;J. Ribeiro Ventura;Alfredo Jaconi;23;16;1;2;62%;38%;473;307;83%;75%;16;16;2;3;0;0;1;2;7;4
17;17/07/2022;16:03;São Paulo;Fluminense;2;2;R. Ceni;F. Diniz Silva;Morumbi;6;15;2;3;36%;64%;328;583;76%;86%;17;7;4;2;0;0;5;1;5;3
17;17/07/2022;18:02;Botafogo;Atlético-MG;0;1;L. Castro;A. Mohamed Matijevich;Estádio Nilton Santos;14;15;2;4;37%;63%;275;487;76%;88%;21;18;4;3;0;0;1;3;6;2
17;17/07/2022;18:00;Atlético-GO;Fortaleza;0;1;J. de Amorim Campos;J. Vojvoda;Estádio Antônio Accioly;15;9;3;5;63%;37%;555;334;87%;79%;7;9;1;0;0;0;1;0;5;6
17;17/07/2022;19:00;América-MG;Bragantino;0;3;V. Carmo Mancini;M. Nogueira Barbieri;Estádio Raimundo Sampaio;25;16;4;6;56%;44%;490;408;84%;81%;8;18;3;1;0;0;2;1;10;4
17;18/07/2022;20:00;Palmeiras;Cuiabá;1;0;A. Moreira Ferreira;A. Cardoso de Oliveira;Allianz Parque;16;6;8;1;62%;38%;494;310;84%;73%;17;12;3;1;0;0;3;1;11;4
18;19/07/2022;22:17;Ceará SC;Avaí;1;0;M. dos Santos Gonçalves;E. de Souza Barroca;Arena Castelão;14;16;5;2;45%;55%;366;444;77%;83%;17;14;0;2;0;0;1;1;3;3
18;20/07/2022;19:00;Bragantino;Fortaleza;2;1;M. Nogueira Barbieri;J. Vojvoda;Nabizão;14;10;7;3;56%;44%;406;319;78%;70%;14;18;4;3;0;0;1;1;4;9
18;20/07/2022;18:59;Goiás;Fluminense;2;3;J. Ribeiro Ventura;F. Diniz Silva;Estádio da Serrinha;15;17;5;10;26%;74%;211;603;73%;90%;19;9;2;0;0;0;2;0;2;3
18;20/07/2022;19:30;Athletico-PR;Atlético-GO;4;1;L. Scolari;J. de Amorim Campos;Estádio Joaquim Américo Guimarães;15;15;9;5;42%;58%;383;527;80%;85%;15;8;3;0;0;0;2;1;3;2
18;20/07/2022;20:29;Flamengo;Juventude;4;0;D. Silvestre Júnior;U. Louzer Filho;Estádio Nacional de Brasília;27;8;12;2;63%;37%;550;317;91%;82%;14;13;3;3;0;1;2;1;5;4
18;20/07/2022;20:29;Internacional;São Paulo;3;3;L. Venker de Menezes;R. Ceni;Estádio José Pinheiro Borda;15;8;7;4;34%;66%;297;586;82%;88%;11;10;4;5;0;0;3;4;4;3
18;20/07/2022;21:30;Santos;Botafogo;2;0;M. Fernandes;L. Castro;Estádio Urbano Caldeira;16;23;7;10;35%;65%;298;553;75%;87%;15;18;2;2;0;0;2;2;4;4
18;20/07/2022;21:33;Corinthians;Coritiba;3;1;V. de Oliveira Lopes Pereira;G. Morínigo;Neo Química Arena;19;8;6;4;62%;38%;584;372;89%;82%;16;15;1;3;0;0;1;1;9;2
18;21/07/2022;18:59;Cuiabá;Atlético-MG;1;1;A. Cardoso de Oliveira;A. Mohamed Matijevich;Arena Pantanal;16;7;8;4;31%;69%;296;672;77%;90%;7;10;1;1;0;0;1;1;4;2
18;21/07/2022;20:00;América-MG;Palmeiras;0;1;V. Carmo Mancini;A. Moreira Ferreira;Estádio Raimundo Sampaio;15;17;3;5;48%;52%;399;419;77%;81%;16;6;5;3;0;0;1;2;7;7
19;23/07/2022;18:59;São Paulo;Goiás;3;3;R. Ceni;J. Ribeiro Ventura;Morumbi;20;13;4;9;64%;36%;541;308;86%;80%;7;11;2;5;0;0;0;3;6;3
19;23/07/2022;21:01;Botafogo;Athletico-PR;2;0;L. Castro;L. Scolari;Estádio Nilton Santos;17;16;6;4;54%;46%;494;410;82%;80%;16;15;0;2;0;0;0;3;2;11
19;24/07/2022;11:03;Avaí;Flamengo;1;2;E. de Souza Barroca;D. Silvestre Júnior;Ressacada;13;19;4;8;42%;58%;333;453;81%;85%;19;19;1;1;0;0;1;0;6;5
19;24/07/2022;16:02;Fluminense;Bragantino;2;1;F. Diniz Silva;M. Nogueira Barbieri;Estádio Municipal General Raulino de Oliveira;24;5;7;2;61%;39%;528;331;82%;72%;11;20;5;2;1;0;2;4;9;5
19;24/07/2022;16:00;Palmeiras;Internacional;2;1;A. Moreira Ferreira;L. Venker de Menezes;Allianz Parque;18;11;9;5;52%;48%;391;374;83%;77%;13;15;0;1;0;0;4;1;12;5
19;24/07/2022;16:00;Juventude;Ceará SC;1;0;U. Louzer Filho;M. dos Santos Gonçalves;Alfredo Jaconi;13;17;7;4;44%;56%;337;429;81%;85%;20;14;1;3;0;0;1;1;8;3
