rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
18;04/08/2016;19:31;São Paulo;Atlético-MG;1;2;E. Bauza;M. de Oliveira Santos;Morumbi;21;8;0;0;61%;39%;544;384;9;17;2;2;0;0;1;1;12;3
18;04/08/2016;21:01;Cruzeiro;Internacional;4;2;L. Venker de Menezes;Falcao;Estádio Raimundo Sampaio;12;11;0;0;42%;58%;347;474;10;14;1;1;0;0;1;2;6;4
18;04/08/2016;21:33;Chapecoense;Palmeiras;1;1;L. Saroli Caio Júnior;A. Stival;Arena Condá;13;23;0;0;34%;66%;261;495;18;15;1;0;0;0;1;0;2;8
18;03/09/2016;16:00;Fluminense;Figueirense;3;2;L. Culpi;T. Guimarães;Estádio Giulite Coutinho;18;10;0;0;54%;46%;323;306;21;15;3;3;0;0;4;1;11;4
19;06/08/2016;18:30;Flamengo;Athletico-PR;1;0;J. Mannarino;P. Autuori de Mello;Kléber Andrade;16;11;4;2;53%;47%;410;395;11;11;2;4;0;0;5;2;11;3
19;07/08/2016;11:00;América-MG;Santos;1;0;E. Alves Moreira;D. Silvestre Júnior;Estádio Raimundo Sampaio;9;7;0;0;42%;58%;381;521;11;7;2;1;0;1;1;3;2;3
19;07/08/2016;16:00;Coritiba;Ponte Preta;3;1;E. Pacheco;E. Baptista;Couto Pereira;11;11;0;0;52%;48%;342;328;20;18;4;3;0;0;0;5;3;4
19;07/08/2016;15:59;Palmeiras;EC Vitória;2;1;A. Stival;V. Carmo Mancini;Allianz Parque;18;10;0;0;59%;41%;491;338;13;20;2;4;0;0;4;5;4;2
19;07/08/2016;16:15;Santa Cruz;São Paulo;1;2;M. Mendes;A. Soares Jardine;Estádio do Arruda;13;12;0;0;48%;52%;386;419;15;24;1;3;0;0;2;0;6;7
19;07/08/2016;16:17;Internacional;Fluminense;2;2;Falcao;L. Culpi;Estádio José Pinheiro Borda;15;10;0;0;54%;46%;413;371;22;14;4;4;0;0;2;1;7;3
19;07/08/2016;18:31;Figueirense;Sport Recife;1;1;A. Fucks;O. de Oliveira Filho;Orlando Scarpelli;13;16;0;0;41%;59%;297;439;18;16;5;3;0;0;1;1;3;5
19;08/08/2016;20:00;Atlético-MG;Chapecoense;3;1;M. de Oliveira Santos;L. Saroli Caio Júnior;Estádio Raimundo Sampaio;14;18;0;0;57%;43%;507;379;15;12;0;1;0;0;3;3;5;3
19;08/08/2016;21:02;Corinthians;Cruzeiro;1;1;C. Borges dos Santos;L. Venker de Menezes;Estádio Municipal Paulo Machado de Carvalho;11;14;0;0;54%;46%;485;430;15;8;4;3;0;0;2;5;6;6
