rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
8;19/06/2017;20:00;Cruzeiro;Grêmio;3;3;L. Venker de Menezes;Renato Gaúcho;Mineirão;17;15;5;7;55%;45%;541;442;12;14;5;2;0;0;0;0;2;8
9;21/06/2017;19:30;EC Vitória;Santos;0;2;A. Tadeu Gallo;L. Culpi;Barradão;17;10;3;6;60%;40%;453;319;15;10;2;1;0;0;4;4;8;5
9;21/06/2017;21:00;Palmeiras;Atlético-GO;1;0;A. Stival;D. Ghidoni Junior;Allianz Parque;13;9;4;4;68%;32%;536;259;10;17;2;2;0;0;5;6;6;3
9;21/06/2017;20:59;Botafogo;Vasco da Gama;3;1;J. Ribeiro Ventura;M. Mendes;Estádio Nilton Santos;7;19;3;3;43%;57%;360;440;20;11;5;1;0;0;1;1;2;6
9;21/06/2017;21:46;Avaí;Fluminense;0;3;C. dos Santos Oliveira;A. da Silva Braga;Ressacada;14;15;5;4;49%;51%;423;445;19;20;1;1;0;0;1;0;5;4
9;21/06/2017;21:45;Athletico-PR;São Paulo;1;0;E. Baptista;R. Ceni;Estádio Joaquim Américo Guimarães;12;28;7;5;34%;66%;299;553;17;15;3;3;0;0;2;1;5;8
9;21/06/2017;21:45;Atlético-MG;Sport Recife;2;2;R. Machado Marques;V. Luxemburgo da Silva;Estádio Raimundo Sampaio;5;12;2;6;53%;47%;431;390;23;26;2;1;0;0;2;3;3;2
9;22/06/2017;19:31;Corinthians;Bahia;3;0;F. Carille;J. de Amorim Campos;Neo Química Arena;16;18;5;1;48%;52%;434;444;15;12;2;2;1;1;2;2;5;9
9;22/06/2017;19:30;Ponte Preta;Cruzeiro;1;0;G. Kleina;L. Venker de Menezes;Moisés Lucarelli;6;8;1;2;52%;48%;405;392;21;23;2;2;0;0;0;3;5;1
9;22/06/2017;21:00;Grêmio;Coritiba;2;0;Renato Gaúcho;E. Pacheco;Arena do Grêmio;17;12;12;6;53%;47%;439;396;18;11;2;0;0;0;4;0;6;3
