rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
33;31/01/2021;16:00;Vasco da Gama;Bahia;0;0;V. Luxemburgo da Silva;L. Cavalcanti;Estádio Vasco da Gama;8;9;5;2;49%;51%;400;418;87%;85%;15;16;1;3;1;0;0;1;6;6
33;31/01/2021;16:00;Ceará SC;Athletico-PR;0;2;A. Ferreira;P. Autuori de Mello;Arena Castelão;9;11;2;2;45%;55%;379;454;81%;83%;15;18;0;2;0;0;1;2;4;4
33;31/01/2021;15:59;Atlético-GO;São Paulo;2;1;M. Ribeiro Cabo;F. Diniz Silva;Estádio Antônio Accioly;11;13;3;3;40%;60%;335;498;73%;85%;13;9;3;1;0;0;1;1;8;5
33;31/01/2021;16:01;Coritiba;Grêmio;1;1;G. Morínigo;Renato Gaúcho;Couto Pereira;8;20;2;3;47%;53%;407;469;84%;87%;26;12;3;3;0;0;0;2;2;3
33;31/01/2021;17:00;Atlético-MG;Fortaleza;2;0;J. Sampaoli Moya;L. Porto Siqueira;Mineirão;12;4;5;1;73%;27%;787;301;91%;78%;16;15;0;1;0;0;3;2;5;1
33;31/01/2021;18:15;Internacional;Bragantino;2;1;A. da Silva Braga;M. Nogueira Barbieri;Estádio José Pinheiro Borda;12;16;3;6;36%;64%;308;538;73%;84%;11;12;3;0;0;0;0;0;3;7
33;31/01/2021;20:30;Fluminense;Goiás;3;0;M. de Oliveira;G. Ramos da Silva;Estádio Nilton Santos;17;12;6;0;43%;57%;372;490;79%;83%;9;15;1;2;0;0;1;0;7;2
33;01/02/2021;19:59;Sport Recife;Flamengo;0;3;J. Ribeiro Ventura;R. Ceni;Adelmar da Costa Carvalho;8;21;2;9;38%;62%;349;563;81%;87%;15;20;2;2;0;0;0;1;2;6
33;02/02/2021;16:00;Palmeiras;Botafogo;1;1;A. Moreira Ferreira;E. de Souza Barroca;Allianz Parque;17;18;2;3;54%;46%;437;388;87%;83%;16;10;2;1;0;0;1;0;12;6
33;17/02/2021;18:59;Santos;Corinthians;1;0;A. Stival;V. Carmo Mancini;Estádio Urbano Caldeira;11;11;5;4;46%;54%;368;417;78%;81%;24;25;0;0;0;0;2;2;6;5
34;03/02/2021;15:59;Grêmio;Santos;3;3;Renato Gaúcho;A. Stival;Arena do Grêmio;17;9;6;6;63%;37%;539;313;88%;79%;12;20;5;1;0;1;1;0;5;3
34;03/02/2021;19:15;Bragantino;Atlético-GO;2;0;M. Nogueira Barbieri;M. Ribeiro Cabo;Nabizão;21;8;10;1;52%;48%;414;388;80%;73%;15;7;3;3;0;0;2;1;8;3
34;03/02/2021;21:30;Corinthians;Ceará SC;2;1;V. Carmo Mancini;A. Ferreira;Neo Química Arena;18;7;7;1;35%;65%;305;561;73%;83%;18;14;0;0;0;0;2;2;8;3
34;03/02/2021;21:30;Goiás;Atlético-MG;1;0;G. Ramos da Silva;J. Sampaoli Moya;Estádio da Serrinha;3;19;1;2;23%;77%;249;819;67%;89%;13;13;3;3;0;0;2;4;1;8
34;03/02/2021;21:30;Bahia;Fluminense;0;1;L. Cavalcanti;M. de Oliveira;Itaipava Arena Fonte Nova;12;13;6;6;55%;45%;521;435;88%;85%;15;11;1;1;0;0;0;2;4;1
34;04/02/2021;18:30;Fortaleza;Coritiba;3;1;E. Alves Moreira;G. Morínigo;Arena Castelão;15;5;7;2;54%;46%;400;345;83%;82%;18;15;2;3;0;2;0;3;4;4
34;04/02/2021;20:59;Flamengo;Vasco da Gama;2;0;R. Ceni;V. Luxemburgo da Silva;Maracanã;17;6;6;3;61%;39%;530;346;86%;82%;19;15;1;3;0;0;0;1;7;5
34;04/02/2021;21:00;Athletico-PR;Internacional;0;0;P. Autuori de Mello;A. da Silva Braga;Estádio Joaquim Américo Guimarães;12;5;4;1;70%;30%;587;256;86%;73%;15;20;3;2;0;0;2;1;3;2
34;05/02/2021;20:00;Botafogo;Sport Recife;0;1;E. de Souza Barroca;J. Ribeiro Ventura;Estádio Nilton Santos;25;10;6;2;66%;34%;542;284;85%;69%;11;19;1;3;0;0;3;0;10;8
34;19/02/2021;21:31;São Paulo;Palmeiras;1;1;M. Vizolli;A. Moreira Ferreira;Morumbi;7;8;3;2;42%;58%;314;431;75%;83%;16;14;2;1;0;0;3;3;1;5
35;06/02/2021;19:00;Bahia;Goiás;3;3;L. Cavalcanti;A. César;Itaipava Arena Fonte Nova;9;17;7;6;47%;53%;379;422;77%;82%;18;13;3;4;1;0;1;1;8;1
35;06/02/2021;21:00;Atlético-GO;Santos;1;1;M. Ribeiro Cabo;A. Stival;Estádio Antônio Accioly;8;18;3;3;30%;70%;233;493;64%;86%;18;13;2;2;1;0;1;4;0;10
35;07/02/2021;20:30;Bragantino;Flamengo;1;1;M. Nogueira Barbieri;R. Ceni;Nabizão;12;15;5;7;45%;55%;360;433;77%;77%;20;16;4;2;0;0;1;4;5;4
35;08/02/2021;20:00;Botafogo;Grêmio;2;5;L. Flávio;Renato Gaúcho;Estádio Nilton Santos;18;13;6;7;46%;54%;409;468;86%;86%;14;18;0;0;0;0;1;1;5;2
35;10/02/2021;19:00;Internacional;Sport Recife;1;2;A. da Silva Braga;J. Ribeiro Ventura;Estádio José Pinheiro Borda;17;7;2;2;60%;40%;530;377;86%;79%;12;11;2;3;2;0;0;1;7;3
35;10/02/2021;19:15;Fortaleza;Vasco da Gama;3;0;E. Alves Moreira;V. Luxemburgo da Silva;Arena Castelão;17;12;7;1;43%;57%;390;487;82%;87%;15;14;2;3;0;0;1;1;5;7
35;10/02/2021;21:01;São Paulo;Ceará SC;1;1;M. Vizolli;A. Ferreira;Morumbi;18;8;9;2;62%;38%;518;338;84%;78%;11;17;4;4;0;0;2;2;8;4
35;10/02/2021;21:30;Fluminense;Atlético-MG;0;0;M. de Oliveira;J. Sampaoli Moya;Maracanã;10;8;3;1;27%;73%;308;848;76%;89%;8;13;0;1;0;0;3;1;6;6
35;10/02/2021;21:30;Corinthians;Athletico-PR;3;3;V. Carmo Mancini;P. Autuori de Mello;Neo Química Arena;17;12;8;7;44%;56%;420;530;82%;86%;19;12;3;0;0;0;1;0;3;2
